points,value,error
570, 0.5456, 0.0221
571, 0.5657, 0.0422
572, 0.5350, 0.0115
573, 0.5410, 0.0175
574, 0.5331, 0.0096
575, 0.5496, 0.0261
576, 0.5278, 0.0043
577, 0.4974, -0.0261
578, 0.5484, 0.0249
579, 0.5302, 0.0067
580, 0.5276, 0.0041
581, 0.5439, 0.0204
582, 0.5137, -0.0098
583, 0.5660, 0.0425
584, 0.5377, 0.0142
585, 0.5145, -0.0090
586, 0.5375, 0.0140
587, 0.4923, -0.0312
588, 0.5102, -0.0133
589, 0.4890, -0.0345
590, 0.5305, 0.0070
591, 0.5262, 0.0027
592, 0.5456, 0.0221
593, 0.5312, 0.0077
594, 0.4882, -0.0353
595, 0.5261, 0.0026
596, 0.5537, 0.0302
597, 0.4908, -0.0327
598, 0.5301, 0.0066
599, 0.5042, -0.0193
600, 0.4967, -0.0268
601, 0.5092, -0.0143
602, 0.4983, -0.0252
603, 0.5323, 0.0088
604, 0.5348, 0.0113
605, 0.5256, 0.0021
606, 0.4983, -0.0252
607, 0.5305, 0.0070
608, 0.5099, -0.0136
609, 0.5599, 0.0364
610, 0.5393, 0.0158
611, 0.5237, 0.0002
612, 0.5458, 0.0223
613, 0.5498, 0.0263
614, 0.5179, -0.0056
615, 0.4992, -0.0243
616, 0.5097, -0.0138
617, 0.5267, 0.0032
618, 0.5259, 0.0024
619, 0.5089, -0.0146
620, 0.5371, 0.0136
621, 0.5507, 0.0272
622, 0.5145, -0.0090
623, 0.4623, -0.0612
624, 0.5577, 0.0342
625, 0.5472, 0.0237
626, 0.5112, -0.0123
627, 0.5152, -0.0083
628, 0.5111, -0.0124
629, 0.5262, 0.0027
630, 0.5333, 0.0098
631, 0.5452, 0.0217
632, 0.5491, 0.0256
633, 0.5466, 0.0231
634, 0.5410, 0.0175
635, 0.5087, -0.0148
636, 0.5283, 0.0048
637, 0.5133, -0.0102
638, 0.5188, -0.0047
639, 0.5180, -0.0055
640, 0.5156, -0.0079
641, 0.4852, -0.0383
642, 0.5296, 0.0061
643, 0.4806, -0.0429
644, 0.5155, -0.0080
645, 0.5225, -0.0010
646, 0.5108, -0.0127
647, 0.5193, -0.0042
648, 0.5401, 0.0166
649, 0.5424, 0.0189
650, 0.5462, 0.0227
651, 0.5146, -0.0089
652, 0.5000, -0.0235
653, 0.5237, 0.0002
654, 0.5168, -0.0067
655, 0.5191, -0.0044
656, 0.5442, 0.0207
657, 0.5525, 0.0290
658, 0.5395, 0.0160
659, 0.5190, -0.0045
660, 0.5212, -0.0023
661, 0.5098, -0.0137
662, 0.5121, -0.0114
663, 0.5279, 0.0044
664, 0.5467, 0.0232
665, 0.5068, -0.0167
666, 0.5616, 0.0381
667, 0.5277, 0.0042
668, 0.5195, -0.0040
669, 0.5546, 0.0311
670, 0.5284, 0.0049
671, 0.5395, 0.0160
672, 0.5312, 0.0078
673, 0.5111, -0.0124
674, 0.5356, 0.0121
675, 0.5422, 0.0187
676, 0.4867, -0.0368
677, 0.5111, -0.0124
678, 0.5619, 0.0384
679, 0.5243, 0.0008
680, 0.5132, -0.0103
681, 0.5272, 0.0037
682, 0.5279, 0.0044
683, 0.4832, -0.0403
684, 0.5336, 0.0101
685, 0.5620, 0.0385
686, 0.5437, 0.0202
687, 0.5269, 0.0034
688, 0.5174, -0.0061
689, 0.5385, 0.0150
690, 0.5130, -0.0105
691, 0.5152, -0.0083
692, 0.5405, 0.0170
693, 0.4993, -0.0242
694, 0.4885, -0.0350
695, 0.5482, 0.0247
696, 0.5230, -0.0005
697, 0.5194, -0.0041
698, 0.5444, 0.0209
699, 0.4993, -0.0242
700, 0.5300, 0.0065
701, 0.5050, -0.0185
702, 0.5185, -0.0050
703, 0.5292, 0.0057
704, 0.5028, -0.0207
705, 0.5348, 0.0113
706, 0.5212, -0.0023
707, 0.5290, 0.0055
708, 0.5085, -0.0150
709, 0.5176, -0.0059
710, 0.5268, 0.0033
711, 0.5007, -0.0228
712, 0.5379, 0.0144
713, 0.4642, -0.0593
714, 0.5448, 0.0213
715, 0.5147, -0.0088
716, 0.5307, 0.0072
717, 0.5467, 0.0232
