points,value,error
1427, 0.50735809, -0.016141910
1428, 0.52100840, -0.0024916000
1429, 0.53184045, 0.0083404500
1430, 0.51678322, -0.0067167800
1431, 0.51572327, -0.0077767300
1432, 0.50907821, -0.014421790
1433, 0.52198186, -0.0015181400
1434, 0.52510460, 0.0016046000
1435, 0.51777003, -0.0057299700
1436, 0.52994429, 0.0064442900
1437, 0.50800278, -0.015497220
1438, 0.49582754, -0.027672460
1439, 0.52189020, -0.0016098000
1440, 0.54444444, 0.020944440
1441, 0.53018737, 0.0066873700
1442, 0.52773925, 0.0042392500
1443, 0.52044352, -0.0030564800
1444, 0.53878116, 0.015281160
1445, 0.52941176, 0.0059117600
1446, 0.50968188, -0.013818120
1447, 0.52246026, -0.0010397400
1448, 0.53245856, 0.0089585600
1449, 0.52173913, -0.0017608700
1450, 0.50275862, -0.020741380
1451, 0.51343901, -0.010060990
1452, 0.51170799, -0.011792010
1453, 0.55127323, 0.027773230
1454, 0.53232462, 0.0088246200
1455, 0.51890034, -0.0045996600
1456, 0.53914835, 0.015648350
1457, 0.50583391, -0.017666090
1458, 0.53566529, 0.012165290
1459, 0.50856751, -0.014932490
1460, 0.53219178, 0.0086917800
1461, 0.53388090, 0.010380900
1462, 0.52120383, -0.0022961700
1463, 0.50239234, -0.021107660
1464, 0.51707650, -0.0064235000
1465, 0.52901024, 0.0055102400
1466, 0.52933151, 0.0058315100
1467, 0.53715065, 0.013650650
1468, 0.51839237, -0.0051076300
1469, 0.51463581, -0.0088641900
1470, 0.52721088, 0.0037108800
1471, 0.52141400, -0.0020860000
1472, 0.53464674, 0.011146740
1473, 0.51731161, -0.0061883900
1474, 0.51424695, -0.0092530500
1475, 0.54644068, 0.022940680
1476, 0.50474255, -0.018757450
1477, 0.53080569, 0.0073056900
1478, 0.52503383, 0.0015338300
1479, 0.54361055, 0.020110550
1480, 0.51216216, -0.011337840
1481, 0.52599595, 0.0024959500
1482, 0.52294197, -0.00055803000
1483, 0.51921780, -0.0042822000
1484, 0.51617251, -0.0073274900
1485, 0.50707071, -0.016429290
1486, 0.51480485, -0.0086951500
1487, 0.53127102, 0.0077710200
1488, 0.52822581, 0.0047258100
1489, 0.53324379, 0.0097437900
1490, 0.51275168, -0.010748320
1491, 0.52582160, 0.0023216000
1492, 0.52010724, -0.0033927600
1493, 0.52243804, -0.0010619600
1494, 0.52945114, 0.0059511400
1495, 0.53846154, 0.014961540
1496, 0.52540107, 0.0019010700
1497, 0.52638611, 0.0028861100
1498, 0.50667557, -0.016824430
1499, 0.51567712, -0.0078228800
